"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_141;size=50271",13,3,1.03e-48,13,3,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",50271
"DUP_14104;size=167",15,7,8.12e-25,3,2,"Veneridae","family","6592","Veneridae","family","6592","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",167
"DUP_14177;size=166",1,1,4.95e-22,1,1,"Negombata magnifica","species","344322","Negombata magnifica","species","344322","Demospongiae","Poecilosclerida","Latrunculiidae","Demospongiae","Poecilosclerida","Latrunculiidae",166
"DUP_14183;size=181",6,1,2.27e-30,4,1,"Amphipholis squamata","species","48271","Amphipholis squamata","species","48271","Ophiuroidea","Ophiurida","Amphiuridae","Ophiuroidea","Ophiurida","Amphiuridae",181
"DUP_14245;size=177",104,55,1.73e-31,104,55,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,177
"DUP_14250;size=302",17,13,4.78e-47,1,1,"Boreoeutheria","below-class","1437010","Pygathrix cinerea 2 RL-2012","species","1194333","Mammalia",NA,NA,"Mammalia","Primates","Cercopithecidae",302
"DUP_1429;size=4001",2,2,6.27e-36,1,1,"Tubulanidae","family","166029","Callinera kasyanovi","species","1683865","Palaeonemertea",NA,"Tubulanidae","Palaeonemertea",NA,"Tubulanidae",4001
"DUP_14300;size=209",2,2,6.18e-46,1,1,"Ptychodera","genus","63120","Ptychodera flava","species","63121","Enteropneusta",NA,"Ptychoderidae","Enteropneusta",NA,"Ptychoderidae",209
"DUP_14408;size=215",110,82,6.18e-46,103,75,"Acanthomorphata","below-infraclass","123368","Percomorphaceae","below-infraclass","1489872","Actinopteri",NA,NA,"Actinopteri",NA,NA,215
"DUP_1443;size=3949",101,8,1.03e-48,101,8,"Suidae","family","9821","Suidae","family","9821","Mammalia",NA,"Suidae","Mammalia",NA,"Suidae",3949
"DUP_14473;size=341",104,60,6.18e-46,20,18,"Euechinoidea","subclass","7638","Euechinoidea","subclass","7638","Echinoidea",NA,NA,"Echinoidea",NA,NA,341
